Code,AreaName,part,Type,TotalPop,TMales,TFemales,ITotalPop,IMales,IFemales,LTotalPop,LMales,LFemales,LWETotalPop,LWEMales,LWEFemales,BPTotalPop,BPMales,BPFemales,PTotalPop,PMales,PFemales,MTotalPop,MMales,MFemales,STotalPop,SMales,SFemales,SSTotalPop,SSMales,SSFemales,NTDTotalPop,NTDMales,NTDFemales,TDTotalPop,TDMales,TDFemales,GTotalPop,GMales,GFemales,UNTotalPop,UNMales,UNFemales
15, MIZORAM,North Eastern,Total,1097206,555339,541867,249031,116810,132221,848175,438529,409646,13469,6288,7181,215865,105262,110603,207450,108434,99016,201482,104978,96504,88153,46235,41918,69069,36061,33008,192,103,89,1862,1111,751,49621,29527,20094,1012,530,482
15, MIZORAM,North Eastern,Rural,525435,269135,256300,162101,73735,88366,363334,195400,167934,7258,3565,3693,124917,63665,61252,107206,58312,48894,75244,40653,34591,23674,13465,10209,15284,9097,6187,32,17,15,269,182,87,8889,6149,2740,561,295,266
15, MIZORAM,North Eastern,Urban,571771,286204,285567,86930,43075,43855,484841,243129,241712,6211,2723,3488,90948,41597,49351,100244,50122,50122,126238,64325,61913,64479,32770,31709,53785,26964,26821,160,86,74,1593,929,664,40732,23378,17354,451,235,216
16, TRIPURA,North Eastern,Total,3673917,1874376,1799541,869134,373007,496127,2804783,1501369,1303414,160715,74925,85790,725461,363853,361608,698656,363404,335252,592396,320040,272356,200829,117515,83314,273295,163371,109924,414,320,94,5977,4781,1196,137812,88621,49191,9228,4539,4689
16, TRIPURA,North Eastern,Rural,2712464,1387173,1325291,719691,305670,414021,1992773,1081503,911270,120744,56225,64519,579471,294874,284597,534359,283731,250628,413619,228022,185597,139110,84042,55068,148395,94772,53623,121,89,32,1571,1249,322,48053,34869,13184,7330,3630,3700
16, TRIPURA,North Eastern,Urban,961453,487203,474250,149443,67337,82106,812010,419866,392144,39971,18700,21271,145990,68979,77011,164297,79673,84624,178777,92018,86759,61719,33473,28246,124900,68599,56301,293,231,62,4406,3532,874,89759,53752,36007,1898,909,989
17, MEGHALAYA,North Eastern,Total,2966889,1491832,1475057,1181884,577953,603931,1785005,913879,871126,78467,41109,37358,609064,311818,297246,412929,203761,209168,297897,151272,146625,160063,86803,73260,126576,67422,59154,194,130,64,3477,2189,1288,90519,46311,44208,5819,3064,2755
17, MEGHALAYA,North Eastern,Rural,2371439,1194260,1177179,1056285,518624,537661,1315154,675636,639518,65400,34681,30719,527346,271443,255903,327955,162619,165336,200963,101714,99249,95587,52135,43452,64374,34851,29523,74,60,14,786,502,284,27487,14884,12603,5182,2747,2435
17, MEGHALAYA,North Eastern,Urban,595450,297572,297878,125599,59329,66270,469851,238243,231608,13067,6428,6639,81718,40375,41343,84974,41142,43832,96934,49558,47376,64476,34668,29808,62202,32571,29631,120,70,50,2691,1687,1004,63032,31427,31605,637,317,320
18, ASSAM,North Eastern,Total,31205576,15939443,15266133,12027599,5370804,6656795,19177977,10568639,8609338,920663,507614,413049,4550439,2469904,2080535,4383390,2378849,2004541,4285011,2248173,2036838,1445515,802772,642743,2507238,1468893,1038345,3683,3106,577,36671,30143,6528,1011345,639241,372104,34022,19944,14078
18, ASSAM,North Eastern,Rural,26807034,13678989,13128045,11121598,4972796,6148802,15685436,8706193,6979243,789082,440255,348827,4059010,2219933,1839077,3787871,2066648,1721223,3572051,1885166,1686885,1119987,632475,487512,1803720,1089418,714302,2571,2270,301,14998,12237,2761,507240,340774,166466,28906,17017,11889
18, ASSAM,North Eastern,Urban,4398542,2260454,2138088,906001,398008,507993,3492541,1862446,1630095,131581,67359,64222,491429,249971,241458,595519,312201,283318,712960,363007,349953,325528,170297,155231,703518,379475,324043,1112,836,276,21673,17906,3767,504105,298467,205638,5116,2927,2189
19, WEST BENGAL,Eastern,Total,91276115,46809027,44467088,29737834,12990217,16747617,61538281,33818810,27719471,1963759,1048966,914793,15902612,8437465,7465147,14954591,7897027,7057564,12474301,6684464,5789837,5430854,3151360,2279494,5599953,3253159,2346794,20127,15236,4891,138525,120335,18190,4827817,3088673,1739144,225742,122125,103617
19, WEST BENGAL,Eastern,Rural,62183113,31844945,30338168,22969334,9996748,12972586,39213779,21848197,17365582,1192454,647306,545148,11970137,6421511,5548626,10626781,5687905,4938876,8167485,4449851,3717634,2768917,1690072,1078845,2895790,1791913,1103877,8506,7156,1350,30912,27390,3522,1402776,1042854,359922,150021,82239,67782
19, WEST BENGAL,Eastern,Urban,29093002,14964082,14128920,6768500,2993469,3775031,22324502,11970613,10353889,771305,401660,369645,3932475,2015954,1916521,4327810,2209122,2118688,4306816,2234613,2072203,2661937,1461288,1200649,2704163,1461246,1242917,11621,8080,3541,107613,92945,14668,3425041,2045819,1379222,75721,39886,35835
20, JHARKHAND,Eastern,Total,32988134,16930315,16057819,14660065,6047796,8612269,18328069,10882519,7445550,781448,454490,326958,4293415,2292684,2000731,4808604,2752242,2056362,3091107,1895039,1196068,2473825,1569270,904555,1459686,940065,519621,22666,14198,8468,64868,55953,8915,1328477,906174,422303,3973,2404,1569
20, JHARKHAND,Eastern,Rural,25055073,12776486,12278587,12411995,5093755,7318240,12643078,7682731,4960347,613233,365222,248011,3446217,1851175,1595042,3759149,2219230,1539919,2202517,1409430,793087,1430294,972816,457478,745560,519767,225793,13147,8546,4601,15800,13426,2374,414891,321799,93092,2270,1320,950
20, JHARKHAND,Eastern,Urban,7933061,4153829,3779232,2248070,954041,1294029,5684991,3199788,2485203,168215,89268,78947,847198,441509,405689,1049455,533012,516443,888590,485609,402981,1043531,596454,447077,714126,420298,293828,9519,5652,3867,49068,42527,6541,913586,584375,329211,1703,1084,619
21, ODISHA,Eastern,Total,41974218,21212136,20762082,15231623,6122455,9109168,26742595,15089681,11652914,832805,438797,394008,5886571,3126770,2759801,7714716,4157327,3557389,5285243,3035765,2249478,3217355,1885832,1331523,1738285,1050721,687564,34654,28452,6202,188268,157099,31169,1783797,1174184,609613,60901,34734,26167
21, ODISHA,Eastern,Rural,34970562,17586203,17384359,13592647,5431651,8160996,21377915,12154552,9223363,680867,364474,316393,5154817,2761589,2393228,6574302,3588993,2985309,4411216,2554590,1856626,2333560,1400990,932570,1151364,725160,426204,16727,14019,2708,106644,90391,16253,899969,626900,273069,48449,27446,21003
21, ODISHA,Eastern,Urban,7003656,3625933,3377723,1638976,690804,948172,5364680,2935129,2429551,151938,74323,77615,731754,365181,366573,1140414,568334,572080,874027,481175,392852,883795,484842,398953,586921,325561,261360,17927,14433,3494,81624,66708,14916,883828,547284,336544,12452,7288,5164
22, CHHATTISGARH,Central,Total,25545198,12832895,12712303,10165276,4025002,6140274,15379922,8807893,6572029,377765,204602,173163,3687369,2011523,1675846,4192144,2267581,1924563,3202404,1825488,1376916,1628487,1003394,625093,1172386,764504,407882,3863,2728,1135,51590,45165,6425,1018853,659081,359772,45061,23827,21234
22, CHHATTISGARH,Central,Rural,19607961,9797426,9810535,8599005,3394414,5204591,11008956,6403012,4605944,284596,156656,127940,2983774,1642972,1340802,3271118,1790520,1480598,2443110,1421517,1021593,973864,629827,344037,663413,471329,192084,1330,977,353,14290,12629,1661,336785,256863,79922,36676,19722,16954
22, CHHATTISGARH,Central,Urban,5937237,3035469,2901768,1566271,630588,935683,4370966,2404881,1966085,93169,47946,45223,703595,368551,335044,921026,477061,443965,759294,403971,355323,654623,373567,281056,508973,293175,215798,2533,1751,782,37300,32536,4764,682068,402218,279850,8385,4105,4280
23, MADHYA PRADESH,Central,Total,72626809,37612306,35014503,29775640,12437978,17337662,42851169,25174328,17676841,1838272,1048973,789299,9582214,5242949,4339265,11878241,6640472,5237769,8431000,5094579,3336421,4441266,2819198,1622068,3193222,2098416,1094806,9732,6814,2918,99838,85480,14358,3222802,2051127,1171675,154582,86320,68262
23, MADHYA PRADESH,Central,Rural,52557404,27149388,25408016,24275418,10094406,14181012,28281986,17054982,11227004,1283103,757551,525552,7479650,4119981,3359669,8840409,5042491,3797918,5854741,3683782,2170959,2372836,1632081,740755,1468942,1087143,381799,2198,1698,500,22117,19555,2562,835601,640936,194665,122389,69764,52625
