Code,AreaName,part,Type,TotalPop,TMales,TFemales,ITotalPop,IMales,IFemales,LTotalPop,LMales,LFemales,LWETotalPop,LWEMales,LWEFemales,BPTotalPop,BPMales,BPFemales,PTotalPop,PMales,PFemales,MTotalPop,MMales,MFemales,STotalPop,SMales,SFemales,SSTotalPop,SSMales,SSFemales,NTDTotalPop,NTDMales,NTDFemales,TDTotalPop,TDMales,TDFemales,GTotalPop,GMales,GFemales,UNTotalPop,UNMales,UNFemales
30, GOA,Western,Total,1458545,739140,719405,293058,123317,169741,1165487,615823,549664,99823,45518,54305,161303,80497,80806,181495,94300,87195,166523,91716,74807,185378,102298,83080,179501,98502,80999,1956,1160,796,35594,24792,10802,146828,74077,72751,7086,2963,4123
30, GOA,Western,Rural,551731,275436,276295,120460,48293,72167,431271,227143,204128,41549,18560,22989,68444,34450,33994,72753,37650,35103,73201,40225,32976,69662,38987,30675,56822,31096,25726,456,276,180,10898,7444,3454,34633,17361,17272,2853,1094,1759
30, GOA,Western,Urban,906814,463704,443110,172598,75024,97574,734216,388680,345536,58274,26958,31316,92859,46047,46812,108742,56650,52092,93322,51491,41831,115716,63311,52405,122679,67406,55273,1500,884,616,24696,17348,7348,112195,56716,55479,4233,1869,2364
31, LAKSHADWEEP,South,Total,64473,33123,31350,11920,5100,6820,52553,28023,24530,2729,1250,1479,9410,4523,4887,12813,6500,6313,11305,5970,5335,5775,3252,2523,7178,4395,2783,112,77,35,853,551,302,2302,1458,844,76,47,29
31, LAKSHADWEEP,South,Rural,14141,7243,6898,2853,1294,1559,11288,5949,5339,782,385,397,2116,1095,1021,3055,1522,1533,2181,1035,1146,1413,795,618,1081,663,418,30,23,7,254,159,95,355,256,99,21,16,5
31, LAKSHADWEEP,South,Urban,50332,25880,24452,9067,3806,5261,41265,22074,19191,1947,865,1082,7294,3428,3866,9758,4978,4780,9124,4935,4189,4362,2457,1905,6097,3732,2365,82,54,28,599,392,207,1947,1202,745,55,31,24
32, KERALA,South,Total,33406061,16027412,17378649,5270237,2322509,2947728,28135824,13704903,14430921,1313536,601366,712170,4401497,2076920,2324577,5065710,2522296,2543414,5059809,2590783,2469026,3852389,1906020,1946369,4885082,2307363,2577719,73857,34264,39593,895188,508075,387113,2531321,1131336,1399985,57435,26480,30955
32, KERALA,South,Rural,17471135,8408054,9063081,2921815,1275624,1646191,14549320,7132430,7416890,676702,311567,365135,2424369,1155194,1269175,2726676,1369388,1357288,2709892,1391467,1318425,2026784,1003965,1022819,2432631,1159974,1272657,35048,15733,19315,457389,248896,208493,1030491,462498,567993,29338,13748,15590
32, KERALA,South,Urban,15934926,7619358,8315568,2348422,1046885,1301537,13586504,6572473,7014031,636834,289799,347035,1977128,921726,1055402,2339034,1152908,1186126,2349917,1199316,1150601,1825605,902055,923550,2452451,1147389,1305062,38809,18531,20278,437799,259179,178620,1500830,668838,831992,28097,12732,15365
33, TAMIL NADU,South,Total,72147030,36137975,36009055,20309523,8097484,12212039,51837507,28040491,23797016,2300483,1188833,1111650,5629379,2861589,2767790,12325162,6479422,5845740,9608004,5087592,4520412,8193224,4540573,3652651,6429350,3405933,3023417,150086,116345,33741,1558526,1143646,414880,5457742,3119342,2338400,185551,97216,88335
33, TAMIL NADU,South,Rural,37229590,18679065,18550525,12727395,5013226,7714169,24502195,13665839,10836356,1079237,581196,498041,3064611,1587693,1476918,6728075,3681444,3046631,5020643,2754507,2266136,3895299,2211721,1683578,2575072,1451256,1123816,50753,40493,10260,651537,474451,177086,1337768,828750,509018,99200,54328,44872
33, TAMIL NADU,South,Urban,34917440,17458910,17458530,7582128,3084258,4497870,27335312,14374652,12960660,1221246,607637,613609,2564768,1273896,1290872,5597087,2797978,2799109,4587361,2333085,2254276,4297925,2328852,1969073,3854278,1954677,1899601,99333,75852,23481,906989,669195,237794,4119974,2290592,1829382,86351,42888,43463
34, PUDUCHERRY,South,Total,1247953,612511,635442,290644,115133,175511,957309,497378,459931,23696,11510,12186,93186,45162,48024,187723,89632,98091,171301,85255,86046,161826,87749,74077,132950,68217,64733,2204,1293,911,39316,27765,11551,142029,79482,62547,3078,1313,1765
34, PUDUCHERRY,South,Rural,395200,194907,200293,114318,44417,69901,280882,150490,130392,7058,3669,3389,29893,14818,15075,60763,30148,30615,58282,29986,28296,50300,28303,21997,37657,20367,17290,505,319,186,12119,8864,3255,23444,13620,9824,861,396,465
34, PUDUCHERRY,South,Urban,852753,417604,435149,176326,70716,105610,676427,346888,329539,16638,7841,8797,63293,30344,32949,126960,59484,67476,113019,55269,57750,111526,59446,52080,95293,47850,47443,1699,974,725,27197,18901,8296,118585,65862,52723,2217,917,1300
35, ANDAMAN & NICOBAR ISLANDS,South,Total,380581,202871,177710,86300,38494,47806,294281,164377,129904,5902,3041,2861,42129,22513,19616,68415,37920,30495,68620,39337,29283,45104,26053,19051,33531,18299,15232,301,180,121,5138,2935,2203,24159,13622,10537,982,477,505
35, ANDAMAN & NICOBAR ISLANDS,South,Rural,237093,126287,110806,59068,26327,32741,178025,99960,78065,3629,1887,1742,29260,15759,13501,46301,25673,20628,44616,25476,19140,24667,14448,10219,17587,9788,7799,88,50,38,2250,1228,1022,8958,5335,3623,669,316,353
35, ANDAMAN & NICOBAR ISLANDS,South,Urban,143488,76584,66904,27232,12167,15065,116256,64417,51839,2273,1154,1119,12869,6754,6115,22114,12247,9867,24004,13861,10143,20437,11605,8832,15944,8511,7433,213,130,83,2888,1707,1181,15201,8287,6914,313,161,152
